1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,4,1,1,19805,1,1976,524,15376,4,4,3,81,81
1,4,1,1,19805,1,2422,258,12892,5,6,5,91,91
1,4,1,1,19805,1,2414,31,12892,5,6,5,91,91
1,4,1,1,19805,1,870,118,12892,5,6,5,91,91
1,4,1,1,19805,1,893,160,14679,5,6,5,91,91
1,4,1,1,19805,1,1384,74,12892,5,6,5,91,91
1,4,1,1,19805,1,952,208,12892,5,6,5,91,91
1,4,1,1,19805,1,824,40,12892,5,6,5,91,91
1,4,1,1,19805,1,1316,532,12892,5,6,5,91,91
1,4,1,1,19805,1,1385,244,12892,5,6,5,91,91
1,4,1,1,19805,1,854,272,14771,5,6,5,91,91
1,4,1,1,19805,1,854,34,12892,5,6,5,91,91
1,4,1,1,19805,1,789,2,12892,5,6,5,91,91
1,4,1,1,19805,1,2401,283,12892,5,6,5,91,91
1,4,1,1,19805,1,1381,312,14679,5,6,5,91,91
1,4,1,1,19805,1,1367,144,12892,5,6,5,91,91
1,4,1,1,19805,1,845,22,12892,5,6,5,91,91
1,4,1,1,19805,1,1295,76,12892,5,6,5,91,91
1,4,1,1,19805,1,870,10,12892,5,6,5,91,91
1,4,1,1,19805,1,2424,267,12892,5,6,5,91,91
1,4,1,1,19805,1,960,24,14771,5,6,5,91,91
1,4,1,1,19805,1,2422,265,12892,5,6,5,91,91
1,4,1,1,19805,1,1363,192,12892,5,6,5,91,91
1,4,1,1,19805,1,2411,240,12892,5,6,5,91,91
1,4,1,1,19805,1,805,32,12892,5,6,5,91,91
1,4,1,1,19805,1,2413,247,12892,5,6,5,91,91
1,4,1,1,19805,1,1379,456,12892,5,6,5,91,91
1,4,1,1,19805,1,1229,336,12892,5,6,5,91,91
1,4,1,1,19805,1,785,18,14771,5,6,5,91,91
1,4,1,1,19805,1,789,30,12892,5,6,5,91,91
1,4,1,1,19805,1,2386,297,12892,5,6,5,91,91
1,4,1,1,19805,1,1337,414,14771,5,6,5,91,91
1,4,1,1,19805,1,2402,285,12892,5,6,5,91,91
1,4,1,1,19805,1,809,16,14771,5,6,5,91,91
1,4,1,1,19805,1,1947,457,12892,5,6,5,91,91
1,4,1,1,19805,1,2385,161,12892,5,6,5,91,91
1,4,1,1,19805,1,1304,170,12892,5,6,5,91,91
1,4,1,1,19805,1,1322,440,14908,5,6,5,91,91
1,4,1,1,19805,1,1265,432,14771,5,6,5,91,91
1,4,1,1,19805,1,2411,204,12892,5,6,5,91,91
1,4,1,1,19805,1,2325,416,13891,5,6,5,91,91
1,4,1,1,19805,1,2370,116,12892,5,6,5,91,91
1,4,1,1,19805,1,2423,222,12892,5,6,5,91,91
1,4,1,1,19805,1,866,180,12892,5,6,5,91,91
1,4,1,1,19805,1,2369,202,12892,5,6,5,91,91
1,4,1,1,19805,1,1329,332,14771,5,6,5,91,91
1,4,1,1,19805,1,2373,200,12892,5,6,5,91,91
1,4,1,1,19805,1,795,20,14771,5,6,5,91,91
1,4,1,1,19805,1,1302,402,14771,5,6,5,91,91
1,4,1,1,19805,1,3480,252,12892,5,6,5,91,91
1,4,1,1,19805,1,2384,253,12892,5,6,5,91,91
1,4,1,1,19805,1,2088,328,11292,6,8,6,82,82
1,4,1,1,19805,1,2105,376,11292,6,8,6,82,82
1,4,1,1,19805,1,1788,380,11292,6,8,6,82,82
1,4,1,1,19805,1,1385,215,13204,8,12,8,33,33
1,4,1,1,19805,1,2346,153,13204,8,12,8,33,33
